family,ScientificName,GCA
Anthicidae,Notoxus monoceros,GCA_965276455.1
Anthribidae,Araecerus fasciculatus,GCA_050578095.1
Anthribidae,Platystomos albinus,GCA_964106875.1
Anthribidae,Pseudeuparius sepicola,GCA_963920635.1
Apionidae,Aspidapion aeneum,GCA_963576565.1
Apionidae,Oxystoma pomonae,GCA_963921995.1
Attelabidae,Apoderus coryli,GCA_911728435.2
Biphyllidae,Biphyllus lunatus,GCA_965194465.1
Bostrichidae,Rhyzopertha dominica,GCA_025024175.1
Bothrideridae,Dastarcus helophoroides,GCA_028583605.1
Brentidae,Cylas formicarius,GCA_029955315.1
Buprestidae,Agrilus biguttatus,GCA_963921985.1
Buprestidae,Agrilus cyanescens,GCA_947389935.1
Buprestidae,Agrilus mali,GCA_029378335.1
Buprestidae,Agrilus planipennis,GCA_000699045.2
Buprestidae,Sambus kanssuensis,GCA_047651835.1
Cantharidae,Cantharis decipiens,GCA_965642435.1
Cantharidae,Cantharis flavilabris,GCA_949152465.1
Cantharidae,Cantharis lateralis,GCA_963170105.1
Cantharidae,Cantharis nigra,GCA_958510845.1
Cantharidae,Cantharis rufa,GCA_947369205.1
Cantharidae,Cantharis rustica,GCA_911387805.1
Cantharidae,Lycocerus yunnanus,GCA_036346125.1
Cantharidae,Malthinus flaveolus,GCA_950108345.1
Cantharidae,Malthinus seriepunctatus,GCA_963924605.1
Cantharidae,Malthodes marginatus,GCA_965119235.1
Cantharidae,Malthodes minimus,GCA_964263285.1
Cantharidae,Podabrus alpinus,GCA_932274525.1
Cantharidae,Rhagonycha fulva,GCA_905340355.1
Cantharidae,Rhagonycha lignosa,GCA_965212295.1
Cantharidae,Rhagonycha lutea,GCA_958510855.1
Carabidae,Abax parallelepipedus,GCA_964197645.1
Carabidae,Agonum fuliginosum,GCA_947534325.1
Carabidae,Amara ovata,GCA_965279835.1
Carabidae,Blemus discus,GCA_050230235.1
Carabidae,Calosoma granatense,GCA_022063505.1
Carabidae,Calosoma tepidum,GCA_044734075.1
Carabidae,Calosoma wilkesii,GCA_044734065.1
Carabidae,Carabus banonii,GCA_964291765.2
Carabidae,Carabus blaptoides fortunei,GCA_050785175.1
Carabidae,Carabus depressus,GCA_048127345.1
Carabidae,Carabus problematicus,GCA_963422195.1
Carabidae,Cedrorum azoricus,GCA_965287095.1
Carabidae,Clivina fossor,GCA_963966155.1
Carabidae,Dicheirus dilatatus,GCA_043773845.1
Carabidae,Dicheirus dilatatus,GCA_043773905.1
Carabidae,Dromius quadrimaculatus,GCA_963989225.1
Carabidae,Harpalus anxius,GCA_965601895.1
Carabidae,Harpalus rubripes,GCA_963082715.1
Carabidae,Kurasawatrechus hirakei hirakei,GCA_050230135.1
Carabidae,Leistus spinibarbis,GCA_933228885.1
Carabidae,Nebria brevicollis,GCA_944738965.1
Carabidae,Nebria ingens riversi,GCA_018344505.1
Carabidae,Nebria salina,GCA_944039245.1
Carabidae,Nipponaphaenops erraticus,GCA_050230155.1
Carabidae,Notiophilus biguttatus,GCA_965642445.1
Carabidae,Ocys tachysoides,GCA_965282375.1
Carabidae,Ophonus ardosiacus,GCA_943142095.1
Carabidae,Poecilus cupreus,GCA_963942605.1
Carabidae,Pogonus chalceus,GCA_002278615.1
Carabidae,Pterostichus madidus,GCA_911728475.2
Carabidae,Pterostichus niger,GCA_947425015.1
Carabidae,Pterostichus vernalis,GCA_965283465.1
Carabidae,Stenolophus ochropezus,GCA_035578165.1
Carabidae,Trechiama lewisi,GCA_050230255.1
Cerambycidae,Anoplophora glabripennis,GCA_000390285.2
Cerambycidae,Arhopalus rusticus,GCA_046563155.1
Cerambycidae,Arhopalus unicolor,GCA_045514315.1
Cerambycidae,Aromia moschata,GCA_965642075.1
Cerambycidae,Batocera rufomaculata,GCA_050941775.1
Cerambycidae,Exocentrus adspersus,GCA_029955175.1
Cerambycidae,Grammoptera ruficornis,GCA_964332215.1
Cerambycidae,Leptura quadrifasciata,GCA_963675555.1
Cerambycidae,Molorchus minor,GCA_029963825.1
Cerambycidae,Monochamus alternatus,GCA_037114965.1
Cerambycidae,Monochamus saltuarius,GCA_025584915.1
Cerambycidae,Nadezhdiella cantori,GCA_051225655.1
Cerambycidae,Neoclytus acuminatus acuminatus,GCA_047371185.1
Cerambycidae,Pogonocherus hispidulus,GCA_963924545.1
Cerambycidae,Rhagium mordax,GCA_963680705.1
Cerambycidae,Rhamnusium bicolor,GCA_029963845.1
Cerambycidae,Rosalia funebris,GCA_037954035.1
Cerambycidae,Rutpela maculata,GCA_936432065.2
Cerambycidae,Stenurella melanura,GCA_963583905.1
Cerambycidae,Stictoleptura scutellata,GCA_964212005.1
Cerambycidae,Tetraopes tetrophthalmus,GCA_042257075.1
Cerambycidae,Tetropium fuscum,GCA_964058775.1
Cleridae,Opilo mollis,GCA_964338635.1
Coccinellidae,Adalia bipunctata,GCA_910592335.1
Coccinellidae,Adalia decempunctata,GCA_951802165.1
Coccinellidae,Anisosticta novemdecimpunctata,GCA_964188095.1
Coccinellidae,Aphidecta obliterata,GCA_963966015.1
Coccinellidae,Calvia quattuordecimguttata,GCA_964059645.1
Coccinellidae,Coccidula rufa,GCA_965178175.1
Coccinellidae,Coccinella septempunctata,GCA_907165205.1
Coccinellidae,Cryptolaemus montrouzieri,GCA_013387265.2
Coccinellidae,Cynegetis impunctata,GCA_030704885.1
Coccinellidae,Halyzia sedecimguttata,GCA_937662695.2
Coccinellidae,Harmonia axyridis,GCA_914767665.1
Coccinellidae,Harmonia quadripunctata,GCA_965642415.1
Coccinellidae,Henosepilachna vigintioctopunctata,GCA_030704895.1
Coccinellidae,Hippodamia convergens,GCA_038502775.1
Coccinellidae,Hippodamia variegata,GCA_046424425.1
Coccinellidae,Megalocaria dilatata,GCA_034642435.1
Coccinellidae,Micraspis discolor,GCA_030674115.1
Coccinellidae,Myrrha octodecimguttata,GCA_958510865.1
Coccinellidae,Novius pumilus,GCA_020654155.1
Coccinellidae,Propylea japonica,GCA_013421045.1
Coccinellidae,Serangium japonicum,GCA_040543525.2
Cryptophagidae,Cryptophagus acutangulus,GCA_963556235.1
Cucujidae,Pediacus dermestoides,GCA_963942485.1
Curculionidae,Anthonomus grandis,GCA_022605725.1
Curculionidae,Anthonomus rubi,GCA_050242925.2
Curculionidae,Barypeithes pellucidus,GCA_963991005.1
Curculionidae,Ceutorhynchus assimilis,GCA_917834065.1
Curculionidae,Ceutorhynchus obstrictus,GCA_965178145.1
Curculionidae,Cosmopolites sordidus,GCA_031761425.1
Curculionidae,Cryptorhynchus lapathi,GCA_965641385.1
Curculionidae,Curculio caryae,GCA_051047995.1
Curculionidae,Dendroctonus frontalis,GCA_040113315.1
Curculionidae,Dendroctonus ponderosae,GCA_020466585.1
Curculionidae,Dendroctonus valens,GCA_024550625.1
Curculionidae,Diaprepes abbreviatus,GCA_034092305.1
Curculionidae,Elaeidobius kamerunicus,GCA_014849505.1
Curculionidae,Eucryptorrhynchus brandti,GCA_040894065.1
Curculionidae,Eucryptorrhynchus scrobiculatus,GCA_046736385.1
Curculionidae,Euwallacea fornicatus,GCA_040115645.1
Curculionidae,Euwallacea similis,GCA_039881205.1
Curculionidae,Hypera rumicis,GCA_965643735.1
Curculionidae,Hypothenemus hampei,GCA_041296355.1
